Date,TSLA,SPX_TR
16/5/17,0.003849258,-0.000487357
17/5/17,-0.034696023,-0.017882843
18/5/17,0.022808816,0.003704864
19/5/17,-0.007141067,0.006790226
22/5/17,-0.001514196,0.005180708
23/5/17,-0.02091495,0.001858736
24/5/17,0.020909971,0.002527633
25/5/17,0.021240281,0.004580303
26/5/17,0.026183844,0.000442746
30/5/17,0.030763663,-0.00105084
31/5/17,0.01755618,-0.000304899
1/6/17,-0.001955372,0.007693451
2/6/17,-0.001382966,0.003723367
5/6/17,0.022215811,-0.00118125
6/6/17,0.015523568,-0.002776425
7/6/17,0.019232907,0.001777616
8/6/17,0.029286649,0.000294452
9/6/17,-0.034122821,-0.000826289
12/6/17,0.004333754,-0.000907085
13/6/17,0.047083242,0.004768893
14/6/17,0.012623891,-0.000923336
15/6/17,-0.014269524,-0.002056236
16/6/17,-0.01019075,0.000291771
19/6/17,-0.004276663,0.008359089
20/6/17,0.00657511,-0.006687299
21/6/17,0.011115208,-0.00049395
22/6/17,0.016463478,-0.000446064
23/6/17,0.00169144,0.00156063
26/6/17,-0.015094919,0.000326234
27/6/17,-0.039744389,-0.008072524
28/6/17,0.023967971,0.009007762
29/6/17,-0.02768678,-0.008568057
30/6/17,0.002608412,0.001584501
3/7/17,-0.025582656,0.002404079
5/7/17,-0.072310602,0.001649702
6/7/17,-0.055822041,-0.009009823
7/7/17,0.013970915,0.006415247
10/7/17,0.009018601,0.000930456
11/7/17,0.035627832,-0.000768485
12/7/17,0.006892418,0.007393299
13/7/17,-0.018511905,0.00190002
14/7/17,0.013402875,0.004688932
17/7/17,-0.025254339,-2.04E-05
18/7/17,0.027627701,0.000618998
19/7/17,-0.008961644,0.005463018
20/7/17,0.013986014,-8.45E-05
21/7/17,-0.004577883,-0.000369353
24/7/17,0.042286329,-0.001040826
25/7/17,-0.007907856,0.002920905
26/7/17,0.012707214,0.000285248
27/7/17,-0.027262876,-0.000867311
28/7/17,0.001407212,-0.00130463
31/7/17,-0.034721002,-0.000722923
1/8/17,-0.01152493,0.002451254
2/8/17,0.019391262,0.000685382
3/8/17,0.065494823,-0.001995693
4/8/17,0.028531073,0.001908405
7/8/17,-0.004943697,0.00167532
8/8/17,0.028208667,-0.00229487
9/8/17,-0.004295071,-0.000246475
10/8/17,-0.022700313,-0.014115841
11/8/17,0.006841379,0.001342816
14/8/17,0.016439257,0.010096959
15/8/17,-0.004312901,-0.000267554
16/8/17,0.002003357,0.00170315
17/8/17,-0.030422566,-0.015391913
18/8/17,-0.012261049,-0.00180841
21/8/17,-0.027816961,0.001191446
22/8/17,0.01027278,0.009976474
23/8/17,0.033434825,-0.00336297
24/8/17,0.000555895,-0.002055491
25/8/17,-0.013945219,0.001786008
28/8/17,-0.00681767,0.000530236
29/8/17,0.00493561,0.000982252
30/8/17,0.016653494,0.004874896
31/8/17,0.007829419,0.00576584
1/9/17,-0.001928375,0.002048147
5/9/17,-0.016064035,-0.007551204
6/9/17,-0.014026032,0.003136769
7/9/17,0.017298282,5.07E-05
8/9/17,-0.020639893,-0.001446717
11/9/17,0.05916957,0.01085297
12/9/17,-0.002642222,0.003423567
13/9/17,0.009461505,0.000772203
14/9/17,0.031171335,-0.000776613
15/9/17,0.006025035,0.001974346
18/9/17,0.012700707,0.001493047
19/9/17,-0.02528677,0.001120612
20/9/17,-0.002667504,0.000634884
21/9/17,-0.020033564,-0.003012956
22/9/17,-0.042063577,0.000669718
25/9/17,-0.01726257,-0.002222576
26/9/17,0.000852709,0.00015017
27/9/17,-0.012211746,0.004085688
28/9/17,-0.004485078,0.001414784
29/9/17,0.004505285,0.00372982
2/10/17,0.001265022,0.003877129
3/10/17,0.0192385,0.002202358
4/10/17,0.020058598,0.001313582
5/10/17,0.000331418,0.005820092
6/10/17,0.004914412,-0.000757764
9/10/17,-0.039287873,-0.001805646
10/10/17,0.037062457,0.002350278
11/10/17,-0.002812707,0.001820988
12/10/17,0.003152481,-0.001599427
13/10/17,-0.000275664,0.000891535
16/10/17,-0.014228203,0.001771702
17/10/17,0.014769231,0.000671958
18/10/17,0.011301615,0.000782883
19/10/17,-0.021969036,0.000411037
20/10/17,-0.019062483,0.005183762
23/10/17,-0.023296778,-0.003947745
24/10/17,0.000814474,0.001644722
25/10/17,-0.034121955,-0.004664539
26/10/17,0.000842561,0.001271453
27/10/17,-0.016175586,0.008073997
30/10/17,-0.002383717,-0.003113306
31/10/17,0.035779929,0.00097822
1/11/17,-0.031408967,0.001590276
2/11/17,-0.068030534,0.000297552
3/11/17,0.022803224,0.00319471
6/11/17,-0.011019284,0.001355618
7/11/17,0.011012502,-0.000182965
