Date,SPX_close,SPX_ret,SPX_TR_close,SPX_TR_ret
01/7/1991,387.81,NA,439.65,NA
01/8/1991,395.43,0.019648797,450.06,0.023677926
03/9/1991,387.86,-0.019143717,442.53,-0.016731103
01/10/1991,392.46,0.011859949,448.48,0.013445416
01/11/1991,375.22,-0.043928044,430.41,-0.040291652
02/12/1991,417.09,0.111587868,479.63,0.114356079
02/1/1992,408.79,-0.019899782,470.7,-0.018618518
03/2/1992,412.7,0.009564813,476.79,0.012938177
02/3/1992,403.69,-0.021831839,467.52,-0.019442522
01/4/1992,414.95,0.02789269,481.25,0.029367728
01/5/1992,415.35,0.000963972,483.6,0.004883117
01/6/1992,408.14,-0.017358854,476.41,-0.014867659
01/7/1992,424.21,0.039373744,495.87,0.040847169
03/8/1992,414.03,-0.023997548,485.72,-0.020469075
01/9/1992,417.8,0.00910562,491.43,0.011755744
01/10/1992,418.68,0.002106271,493.13,0.003459292
02/11/1992,431.35,0.030261775,509.92,0.034047817
01/12/1992,435.71,0.010107801,516.18,0.012276436
04/1/1993,438.78,0.007045971,520.49,0.0083498
01/2/1993,443.38,0.010483614,527.59,0.013640992
01/3/1993,451.67,0.01869728,538.72,0.021095927
01/4/1993,440.19,-0.025416787,525.7,-0.024168399
03/5/1993,450.19,0.022717463,539.76,0.026745292
01/6/1993,450.53,0.000755237,541.34,0.002927227
01/7/1993,448.13,-0.005327059,539.16,-0.004027044
02/8/1993,463.56,0.034431973,559.62,0.037947919
01/9/1993,458.93,-0.00998792,555.33,-0.007665916
01/10/1993,467.83,0.019392936,566.82,0.0206904
01/11/1993,461.79,-0.012910673,561.41,-0.009544476
01/12/1993,466.45,0.010091167,568.2,0.012094548
03/1/1994,481.61,0.032500804,587.52,0.034002112
01/2/1994,467.14,-0.030045057,571.57,-0.027148012
01/3/1994,445.77,-0.045746457,546.65,-0.043599209
04/4/1994,450.91,0.01153061,553.66,0.012823562
02/5/1994,456.5,0.012397152,562.75,0.016418018
01/6/1994,444.27,-0.0267908,548.96,-0.024504665
01/7/1994,458.26,0.03148986,566.98,0.032825707
01/8/1994,475.49,0.037598743,590.23,0.041006737
01/9/1994,462.69,-0.026919599,575.8,-0.024448097
03/10/1994,472.35,0.02087791,588.73,0.022455714
01/11/1994,453.69,-0.039504605,567.29,-0.036417373
01/12/1994,459.27,0.012299147,575.71,0.014842497
03/1/1995,470.42,0.024277658,590.64,0.025933196
01/2/1995,487.39,0.036074147,613.65,0.038957741
01/3/1995,500.71,0.027329244,631.76,0.029511937
03/4/1995,514.71,0.027960296,650.36,0.02944156
01/5/1995,533.4,0.03631171,676.36,0.039977858
01/6/1995,544.75,0.02127859,692.07,0.023227275
03/7/1995,562.06,0.031776044,715.02,0.033161385
01/8/1995,561.88,-0.000320251,716.82,0.002517412
01/9/1995,584.41,0.04009753,747.07,0.042200273
02/10/1995,581.5,-0.004979381,744.4,-0.003573962
01/11/1995,605.37,0.041049011,777.07,0.043887695
01/12/1995,615.93,0.017443877,792.04,0.019264674
02/1/1996,636.02,0.032617343,819,0.034038685
01/2/1996,640.43,0.006933744,826.59,0.009267399
01/3/1996,645.5,0.007916556,834.55,0.009629925
01/4/1996,654.17,0.013431448,846.85,0.014738482
01/5/1996,669.12,0.022853387,868.69,0.025789691
03/6/1996,670.63,0.002256695,872.01,0.003821847
01/7/1996,639.95,-0.045748028,833.48,-0.044185273
