date,return_tsla,return_sp500_tr
2017-05-03,-0.025152205,-0.001070989
2017-05-04,-0.049646732,0.000635895
2017-05-05,0.04354464,0.004102121
2017-05-08,-0.003689333,0.000139184
2017-05-09,0.045968205,-0.000981156
2017-05-10,0.012268815,0.001515671
2017-05-11,-0.006632899,-0.001842296
2017-05-12,0.005281049,-0.00146008
2017-05-15,-0.027413804,0.004900967
2017-05-16,0.003849258,-0.000487357
2017-05-17,-0.034696023,-0.017882843
2017-05-18,0.022808816,0.003704864
2017-05-19,-0.007141067,0.006790226
2017-05-22,-0.001514196,0.005180708
2017-05-23,-0.02091495,0.001858736
2017-05-24,0.020909971,0.002527633
2017-05-25,0.021240281,0.004580303
2017-05-26,0.026183844,0.000442746
2017-05-30,0.030763663,-0.00105084
2017-05-31,0.01755618,-0.000304899
2017-06-01,-0.001955372,0.007693451
2017-06-02,-0.001382966,0.003723367
2017-06-05,0.022215811,-0.00118125
2017-06-06,0.015523568,-0.002776425
2017-06-07,0.019232907,0.001777616
2017-06-08,0.029286649,0.000294452
2017-06-09,-0.034122821,-0.000826289
2017-06-12,0.004333754,-0.000907085
2017-06-13,0.047083242,0.004768893
2017-06-14,0.012623891,-0.000923336
2017-06-15,-0.014269524,-0.002056236
2017-06-16,-0.01019075,0.000291771
2017-06-19,-0.004276663,0.008359089
2017-06-20,0.00657511,-0.006687299
2017-06-21,0.011115208,-0.00049395
2017-06-22,0.016463478,-0.000446064
2017-06-23,0.00169144,0.00156063
2017-06-26,-0.015094919,0.000326234
2017-06-27,-0.039744389,-0.008072524
2017-06-28,0.023967971,0.009007762
2017-06-29,-0.02768678,-0.008568057
2017-06-30,0.002608412,0.001584501
2017-07-03,-0.025582656,0.002404079
2017-07-05,-0.072310602,0.001649702
2017-07-06,-0.055822041,-0.009009823
2017-07-07,0.013970915,0.006415247
2017-07-10,0.009018601,0.000930456
2017-07-11,0.035627832,-0.000768485
2017-07-12,0.006892418,0.007393299
2017-07-13,-0.018511905,0.00190002
2017-07-14,0.013402875,0.004688932
2017-07-17,-0.025254339,-2.04e-05
2017-07-18,0.027627701,0.000618998
2017-07-19,-0.008961644,0.005463018
2017-07-20,0.013986014,-8.45e-05
2017-07-21,-0.004577883,-0.000369353
2017-07-24,0.042286329,-0.001040826
2017-07-25,-0.007907856,0.002920905
2017-07-26,0.012707214,0.000285248
2017-07-27,-0.027262876,-0.000867311
2017-07-28,0.001407212,-0.00130463
2017-07-31,-0.034721002,-0.000722923
2017-08-01,-0.01152493,0.002451254
2017-08-02,0.019391262,0.000685382
2017-08-03,0.065494823,-0.001995693
2017-08-04,0.028531073,0.001908405
2017-08-07,-0.004943697,0.00167532
2017-08-08,0.028208667,-0.00229487
2017-08-09,-0.004295071,-0.000246475
2017-08-10,-0.022700313,-0.014115841
2017-08-11,0.006841379,0.001342816
2017-08-14,0.016439257,0.010096959
2017-08-15,-0.004312901,-0.000267554
2017-08-16,0.002003357,0.00170315
2017-08-17,-0.030422566,-0.015391913
2017-08-18,-0.012261049,-0.00180841
2017-08-21,-0.027816961,0.001191446
2017-08-22,0.01027278,0.009976474
2017-08-23,0.033434825,-0.00336297
2017-08-24,0.000555895,-0.002055491
2017-08-25,-0.013945219,0.001786008
2017-08-28,-0.00681767,0.000530236
2017-08-29,0.00493561,0.000982252
2017-08-30,0.016653494,0.004874896
2017-08-31,0.007829419,0.00576584
2017-09-01,-0.001928375,0.002048147
2017-09-05,-0.016064035,-0.007551204
2017-09-06,-0.014026032,0.003136769
2017-09-07,0.017298282,5.07e-05
2017-09-08,-0.020639893,-0.001446717
2017-09-11,0.05916957,0.01085297
2017-09-12,-0.002642222,0.003423567
2017-09-13,0.009461505,0.000772203
2017-09-14,0.031171335,-0.000776613
2017-09-15,0.006025035,0.001974346
2017-09-18,0.012700707,0.001493047
2017-09-19,-0.02528677,0.001120612
2017-09-20,-0.002667504,0.000634884
2017-09-21,-0.020033564,-0.003012956
2017-09-22,-0.042063577,0.000669718
2017-09-25,-0.01726257,-0.002222576
2017-09-26,0.000852709,0.00015017
2017-09-27,-0.012211746,0.004085688
2017-09-28,-0.004485078,0.001414784
2017-09-29,0.004505285,0.00372982
2017-10-02,0.001265022,0.003877129
2017-10-03,0.0192385,0.002202358
2017-10-04,0.020058598,0.001313582
2017-10-05,0.000331418,0.005820092
2017-10-06,0.004914412,-0.000757764
2017-10-09,-0.039287873,-0.001805646
2017-10-10,0.037062457,0.002350278
2017-10-11,-0.002812707,0.001820988
2017-10-12,0.003152481,-0.001599427
2017-10-13,-0.000275664,0.000891535
2017-10-16,-0.014228203,0.001771702
2017-10-17,0.014769231,0.000671958
2017-10-18,0.011301615,0.000782883
2017-10-19,-0.021969036,0.000411037
2017-10-20,-0.019062483,0.005183762
2017-10-23,-0.023296778,-0.003947745
2017-10-24,0.000814474,0.001644722
2017-10-25,-0.034121955,-0.004664539
2017-10-26,0.000842561,0.001271453
2017-10-27,-0.016175586,0.008073997
2017-10-30,-0.002383717,-0.003113306
2017-10-31,0.035779929,0.00097822
2017-11-01,-0.031408967,0.001590276
2017-11-02,-0.068030534,0.000297552
2017-11-03,0.022803224,0.00319471
2017-11-06,-0.011019284,0.001355618
2017-11-07,0.011012502,-0.000182965
2017-11-08,-0.005574422,0.001462385
2017-11-09,-0.004445876,-0.003518384
2017-11-10,-0.000194162,-0.000537262
2017-11-13,0.041170378,0.001005091
2017-11-14,-0.02113902,-0.002154474
2017-11-15,0.008257114,-0.005297915
2017-11-16,0.003905758,0.008523756
2017-11-17,0.008032129,-0.002589161
2017-11-20,-0.01998257,0.001307603
2017-11-21,0.029219336,0.006556014
2017-11-22,-0.016046411,-0.000662276
2017-11-24,0.009094901,0.00210326
2017-11-27,0.004164595,-0.000273624
2017-11-28,0.002599814,0.009889858
2017-11-29,-0.031302093,-0.000240993
2017-11-30,0.004206501,0.008560079
2017-12-01,-0.007996954,-0.001984918
2017-12-04,-0.004158669,-0.001029374
2017-12-05,-0.004818503,-0.003694944
2017-12-06,0.031375081,-8.91e-05
2017-12-07,-0.006384577,0.003106989
2017-12-08,0.012158246,0.005611124
2017-12-11,0.043754279,0.003206008
2017-12-12,0.03673226,0.001584237
2017-12-13,-0.005579202,-0.000439024
2017-12-14,-0.003354734,-0.003900774
2017-12-15,0.016365852,0.00902904
2017-12-18,-0.013361503,0.005405054
2017-12-19,-0.02303374,-0.003215117
2017-12-20,-0.006397725,-0.000697361
2017-12-21,0.008227508,0.001986776
2017-12-22,-0.019336527,-0.000453242
2017-12-26,-0.024240232,-0.001010408
2017-12-27,-0.017982944,0.00086219
2017-12-28,0.011578881,0.002022662
2017-12-29,-0.012192846,-0.005119696
2018-01-02,0.028717174,0.008349143
2018-01-03,-0.010284665,0.006400043
2018-01-04,-0.007546236,0.004236253
2018-01-05,0.006107822,0.007031398
2018-01-08,0.062751657,0.001681009
2018-01-09,-0.008102122,0.001601289
2018-01-10,0.003232062,-0.00110496
2018-01-11,0.009489222,0.007112571
2018-01-12,-0.005106185,0.006751085
2018-01-16,0.011314592,-0.003506375
2018-01-17,0.020818916,0.009413565
2018-01-18,-0.007457206,-0.001527205
2018-01-19,0.015823325,0.004409547
2018-01-22,0.00459461,0.008081954
2018-01-23,0.003625411,0.002213672
2018-01-24,-0.019673224,-0.000558576
2018-01-25,-0.024206349,0.000604854
2018-01-26,0.015337245,0.011859353
2018-01-29,0.019396922,-0.006673772
2018-01-30,-0.010327795,-0.01083132
2018-01-31,0.025011343,0.00051926
2018-02-01,-0.014441432,-0.000456682
2018-02-02,-0.015775881,-0.02114604
2018-02-05,-0.03085962,-0.040976047
2018-02-06,0.002354326,0.017550247
2018-02-07,0.032765708,-0.004975033
2018-02-08,-0.085683421,-0.037392826
2018-02-09,-0.015795038,0.015264973
2018-02-12,0.016996272,0.013949089
2018-02-13,0.025037276,0.002669212
2018-02-14,-0.004121462,0.01368795
2018-02-15,0.036820644,0.012311848
2018-02-16,0.004167645,0.000462389
2018-02-20,-0.002162857,-0.005771515
2018-02-21,-0.004100762,-0.005477107
2018-02-22,0.038882353,0.001057237
2018-02-23,0.016533605,0.016091698
2018-02-26,0.015317774,0.011879334
2018-02-27,-0.018158876,-0.01256341
2018-02-28,-0.02240599,-0.01099275
2018-03-01,-0.035322359,-0.013169872
2018-03-02,0.012442232,0.005165802
2018-03-05,-0.005208333,0.011038117
2018-03-06,-0.015177363,0.002691077
2018-03-07,0.01248432,-0.000414764
2018-03-08,-0.009911504,0.004734661
2018-03-09,-0.00583959,0.017403211
2018-03-12,0.055861904,-0.00127034
2018-03-13,-0.010331517,-0.006304897
2018-03-14,-0.044510726,-0.005448509
2018-03-15,-0.003421779,-0.000718941
2018-03-16,-0.01289079,0.001736312
2018-03-19,-0.024165497,-0.014196286
2018-03-20,-0.009567882,0.001498935
2018-03-21,0.019068064,-0.001736648
2018-03-22,-0.023420074,-0.025124409
2018-03-23,-0.024298947,-0.020955236
2018-03-26,0.008648157,0.027157969
2018-03-27,-0.082065498,-0.017274088
2018-03-28,-0.076761008,-0.00274842
2018-03-29,0.032253157,0.013817183
2018-04-02,-0.051068534,-0.02232692
2018-04-03,0.059408247,0.01265569
2018-04-04,0.072863217,0.011638537
2018-04-05,0.065045094,0.007008045
2018-04-06,-0.019758789,-0.021900653
2018-04-09,-0.032918848,0.003634337
2018-04-10,0.051363606,0.016757899
2018-04-11,-0.01203656,-0.005480712
2018-04-12,-0.02293309,0.008371288
2018-04-13,0.021070881,-0.002866795
2018-04-16,-0.030105139,0.008135594
2018-04-17,-0.012254242,0.010660139
2018-04-18,0.019836401,0.000832974
2018-04-19,0.023059956,-0.005603818
2018-04-20,-0.033058931,-0.008487524
2018-04-23,-0.023445946,5.56e-05
2018-04-24,0.000553518,-0.013356501
2018-04-25,-0.009957818,0.001836933
2018-04-26,0.016833135,0.010437035
2018-04-27,0.030155241,0.001171125
2018-04-30,-0.00073348,-0.008154334
2018-05-01,0.019084479,0.002554787
2018-05-02,0.005762179,-0.007207185
2018-05-03,-0.055664063,-0.002144712
2018-05-04,0.033505688,0.012991489
2018-05-07,0.029884597,0.003477238
2018-05-08,-0.00252607,-0.000255824
2018-05-09,0.015909091,0.00979935
2018-05-10,-0.006072228,0.009599686
2018-05-11,-0.012604502,0.002055606
2018-05-14,-0.030415527,0.000928746
2018-05-15,-0.026398871,-0.006796696
2018-05-16,0.008072306,0.004338003
2018-05-17,-0.007049483,-0.000567489
2018-05-18,-0.026812793,-0.002550237
2018-05-21,0.0274807,0.007416341
2018-05-22,-0.033087475,-0.003118057
2018-05-23,0.014543381,0.003276501
2018-05-24,-0.004497224,-0.001986112
2018-05-25,0.003952848,-0.002241084
2018-05-29,0.016803769,-0.011522215
2018-05-30,0.028834186,0.012877131
2018-05-31,-0.024127966,-0.006661566
2018-06-01,0.024793388,0.010942079
2018-06-04,0.01686828,0.00450334
2018-06-05,-0.018835503,0.000763026
2018-06-06,0.09713054,0.008597678
2018-06-07,-0.010498527,-0.000534349
2018-06-08,0.005398027,0.003164801
2018-06-11,0.045235744,0.001074766
2018-06-12,0.031941902,0.001786893
2018-06-13,0.005721478,-0.003989015
2018-06-14,0.03783138,0.002778037
2018-06-15,0.001151126,-0.000913607
2018-06-18,0.03542488,-0.002110309
2018-06-19,-0.049124848,-0.003976393
2018-06-20,0.026582138,0.00171076
2018-06-21,-0.040032503,-0.006248224
2018-06-22,-0.039896168,0.001889538
2018-06-25,-0.001528153,-0.013722679
2018-06-26,0.026665882,0.002203089
2018-06-27,0.007396365,-0.008605275
2018-06-28,0.015822425,0.006313603
2018-06-29,-0.020450471,0.000822125
2018-07-02,-0.022536178,0.003113656
2018-07-03,-0.072210194,-0.004948021
2018-07-05,-0.005802586,0.008864344
2018-07-06,-0.000761276,0.008551783
2018-07-09,0.030791696,0.009114881
2018-07-10,0.012749446,0.003493382
2018-07-11,-0.010886091,-0.007094583
2018-07-12,-0.006886375,0.008849525
2018-07-13,0.00674839,0.001082471
2018-07-16,-0.027366091,-0.000979539
2018-07-17,0.040465352,0.003987953
2018-07-18,0.004253768,0.002159772
2018-07-19,-0.011678567,-0.003848476
2018-07-20,-0.020877977,-0.000907345
2018-07-23,-0.033204102,0.001839755
2018-07-24,-0.018950909,0.004830533
2018-07-25,0.037908755,0.009108666
2018-07-26,-0.007685956,-0.003031388
2018-07-27,-0.029573678,-0.006560279
2018-07-30,-0.023878628,-0.005671867
2018-07-31,0.02743614,0.004914934
2018-08-01,0.009997369,-0.001038014
2018-08-02,0.16032821,0.005030054
2018-08-03,-0.003311258,0.004779395
2018-08-06,-0.017906414,0.00363316
2018-08-07,0.109856086,0.002833456
2018-08-08,-0.024435605,-0.000232288
2018-08-09,-0.048453717,-0.001182504
2018-08-10,0.008959875,-0.006814809
2018-08-13,0.002537231,-0.00398957
2018-08-14,-0.024647887,0.006476814
2018-08-15,-0.025609206,-0.007418
2018-08-16,-0.00978349,0.008219546
2018-08-17,-0.089272143,0.003405417
2018-08-20,0.009693157,0.002466042
2018-08-21,0.04355013,0.002103945
2018-08-22,-0.000913854,-0.000368865
2018-08-23,-0.004451491,-0.00163047
2018-08-24,0.008391523,0.006209485
2018-08-27,-0.010508413,0.007784965
2018-08-28,-0.023511357,0.000277602
2018-08-29,-0.022505815,0.005787776
2018-08-30,-0.005788154,-0.004266705
2018-08-31,-0.004786856,0.000236214
2018-09-04,-0.042053949,-0.001560757
2018-09-05,-0.028701316,-0.002795963
2018-09-06,0.000908138,-0.003357482
2018-09-07,-0.063093244,-0.002131958
2018-09-10,0.084401073,0.001896592
2018-09-11,-0.02108951,0.00380732
2018-09-12,0.039649123,0.000366688
2018-09-13,-0.003847452,0.005547831
2018-09-14,0.019921399,0.000424348
2018-09-17,-0.001129418,-0.00555357
2018-09-18,-0.033787828,0.005408453
2018-09-19,0.049149859,0.001254433
2018-09-20,-0.001705925,0.007885369
2018-09-21,0.002366086,-0.000345798
2018-09-24,0.001704806,-0.00351427
2018-09-25,0.004778425,-0.001232478
2018-09-26,0.028599349,-0.003292065
2018-09-27,-0.006840205,0.002950006
2018-09-28,-0.139021746,3.5e-05
2018-10-01,0.172209466,0.003649195
2018-10-02,-0.030456211,-0.000361078
2018-10-03,-0.019877477,0.000711938
2018-10-04,-0.044284859,-0.007936054
2018-10-05,-0.070548946,-0.005514593
2018-10-08,-0.043491279,-0.000392748
2018-10-09,0.048833933,-0.001126319
2018-10-10,-0.02253395,-0.032857421
2018-10-11,-0.01778626,-0.020569187
2018-10-12,0.026346468,0.014313772
2018-10-15,0.002423141,-0.005881936
2018-10-16,0.065115576,0.021523304
2018-10-17,-0.016950355,-0.0002121
2018-10-18,-0.028930092,-0.014295813
2018-10-19,-0.014858841,-0.000333889
2018-10-22,0.003544495,-0.004273432
2018-10-23,0.127827459,-0.005461717
2018-10-24,-0.018390192,-0.030864073
2018-10-25,0.089261472,0.018623128
2018-10-26,0.050539042,-0.017326318
2018-10-29,0.019160043,-0.006546021
2018-10-30,-0.020895175,0.015757108
2018-10-31,0.022648912,0.010884578
2018-11-01,0.019938383,0.01058455
2018-11-02,0.006953152,-0.006227781
2018-11-05,-0.01477247,0.005627767
2018-11-06,-0.000574482,0.006339016
2018-11-07,0.020405817,0.021220271
2018-11-08,0.009407391,-0.001984783
2018-11-09,-0.002455494,-0.00902773
2018-11-12,-0.054881119,-0.019702726
2018-11-13,0.022256422,-0.001446785
2018-11-14,0.016097279,-0.007308802
2018-11-15,0.012537041,0.010920595
2018-11-16,0.017278253,0.002296621
2018-11-19,-0.002544952,-0.016613465
2018-11-20,-0.01719452,-0.01807658
2018-11-21,-0.026863818,0.003125405
2018-11-23,-0.036072609,-0.006503398
2018-11-26,0.061488478,0.015652462
2018-11-27,-0.005894689,0.003271289
